brand,year,age,km_driven,fuel_type,transmission,inspection_grade,owner_type,city,selling_price,km_per_year
Ford,2013,12,203676,Diesel,Automatic,B,2nd,Delhi,114732,16973
Maruti,2015,10,154070,Diesel,Manual,B,2nd,Ahmedabad,74242,15407
Tata,2013,12,162144,Diesel,Automatic,C,3rd,Chennai,86799,13512
Toyota,2016,9,78066,Diesel,Automatic,B,3rd,Ahmedabad,273714,8674
Honda,2018,7,122332,Petrol,Automatic,A,1st,Mumbai,328360,17476
Honda,2012,13,160303,Petrol,Manual,A,1st,Hyderabad,130132,12331
Maruti,2012,13,123305,Petrol,Automatic,A,1st,Bangalore,117234,9485
Maruti,2011,14,248150,Petrol,Automatic,A,1st,Pune,84539,17725
Ford,2010,15,151740,Petrol,Manual,B,3rd,Hyderabad,68432,10116
Ford,2023,2,26740,Petrol,Automatic,B,1st,Mumbai,451396,13370
Tata,2010,15,222450,CNG,Manual,A,2nd,Ahmedabad,66516,14830
Hyundai,2022,3,26202,CNG,Manual,B,2nd,Hyderabad,317257,8734
Hyundai,2012,13,201461,Petrol,Manual,D,3rd,Mumbai,50127,15497
Mahindra,2023,2,23134,Petrol,Manual,A,2nd,Chennai,454316,11567
Ford,2016,9,81180,Petrol,Manual,B,1st,Chennai,143834,9020
Ford,2020,5,72460,Petrol,Manual,B,1st,Hyderabad,237965,14492
Mahindra,2018,7,99113,Petrol,Manual,B,2nd,Kolkata,191589,14159
Tata,2023,2,16416,CNG,Manual,B,3rd,Kolkata,274776,8208
Maruti,2011,14,212940,Petrol,Automatic,B,2nd,Hyderabad,70561,15210
Maruti,2016,9,154485,Petrol,Manual,C,2nd,Ahmedabad,70217,17165
Ford,2010,15,222405,Petrol,Manual,C,1st,Pune,64143,14827
Tata,2011,14,138992,Electric,Manual,D,1st,Kolkata,61728,9928
Maruti,2015,10,129340,CNG,Manual,B,3rd,Mumbai,65015,12934
Maruti,2020,5,89035,Diesel,Manual,D,1st,Chennai,167940,17807
Tata,2014,11,106953,Petrol,Manual,C,1st,Pune,87169,9723
Maruti,2017,8,123792,Petrol,Automatic,C,1st,Hyderabad,137331,15474
Maruti,2021,4,66908,Petrol,Manual,B,2nd,Pune,193230,16727
Honda,2020,5,82865,Petrol,Manual,D,2nd,Mumbai,195242,16573
Tata,2011,14,208684,Diesel,Manual,D,2nd,Mumbai,56041,14906
Tata,2010,15,165930,Petrol,Automatic,A,1st,Hyderabad,128671,11062
Maruti,2016,9,127125,Petrol,Manual,B,1st,Ahmedabad,92118,14125
Mahindra,2015,10,173980,Diesel,Manual,D,2nd,Bangalore,79140,17398
Maruti,2017,8,111016,Petrol,Automatic,B,3rd,Pune,130929,13877
Hyundai,2020,5,66250,Diesel,Automatic,A,1st,Delhi,539041,13250
Mahindra,2022,3,40458,Petrol,Manual,A,1st,Mumbai,399982,13486
Tata,2023,2,27986,Petrol,Manual,B,2nd,Chennai,290058,13993
Toyota,2017,8,96304,Petrol,Manual,C,1st,Kolkata,202099,12038
Tata,2011,14,230524,CNG,Manual,A,1st,Pune,82532,16466
Honda,2023,2,25042,Petrol,Manual,C,1st,Delhi,404493,12521
Maruti,2017,8,91192,Petrol,Manual,C,2nd,Mumbai,93513,11399
Hyundai,2015,10,148700,Petrol,Automatic,A,1st,Pune,159135,14870
Maruti,2018,7,105413,Diesel,Manual,A,3rd,Bangalore,143603,15059
Maruti,2021,4,47488,Diesel,Manual,C,1st,Delhi,242655,11872
Renault,2016,9,149229,Petrol,Manual,D,1st,Chennai,65284,16581
Hyundai,2011,14,230468,Petrol,Manual,A,1st,Ahmedabad,82806,16462
Ford,2017,8,88168,CNG,Manual,C,2nd,Delhi,121364,11021
Tata,2018,7,59192,Diesel,Automatic,B,2nd,Pune,266660,8456
Toyota,2016,9,148833,Diesel,Automatic,A,1st,Kolkata,290772,16537
Honda,2013,12,135924,Petrol,Automatic,C,1st,Hyderabad,136855,11327
Honda,2018,7,97426,Petrol,Automatic,B,1st,Ahmedabad,282299,13918
Honda,2013,12,137472,Diesel,Automatic,C,1st,Mumbai,162630,11456
Maruti,2021,4,53064,Diesel,Manual,B,2nd,Kolkata,228577,13266
Mahindra,2013,12,212904,Diesel,Manual,C,2nd,Hyderabad,76570,17742
Maruti,2018,7,83111,Petrol,Automatic,B,1st,Bangalore,186886,11873
Maruti,2023,2,26402,Petrol,Manual,B,3rd,Delhi,217820,13201
Tata,2017,8,94056,Diesel,Manual,B,2nd,Hyderabad,150974,11757
Maruti,2013,12,207192,CNG,Automatic,A,1st,Ahmedabad,93755,17266
Volkswagen,2023,2,20628,Petrol,Automatic,C,1st,Bangalore,473907,10314
Renault,2017,8,92496,Diesel,Manual,A,1st,Hyderabad,206887,11562
Volkswagen,2017,8,103560,Diesel,Manual,B,1st,Chennai,232862,12945
Hyundai,2016,9,140535,CNG,Manual,C,2nd,Hyderabad,100461,15615
Maruti,2019,6,86400,Diesel,Manual,B,2nd,Mumbai,179404,14400
Volkswagen,2022,3,30168,CNG,Manual,B,1st,Ahmedabad,373092,10056
Hyundai,2015,10,124160,CNG,Automatic,C,1st,Pune,119803,12416
Renault,2017,8,74928,Petrol,Manual,B,2nd,Hyderabad,132227,9366
Renault,2016,9,138816,Diesel,Manual,A,2nd,Hyderabad,129309,15424
Toyota,2014,11,131571,Diesel,Automatic,B,3rd,Hyderabad,184077,11961
Maruti,2021,4,69452,Petrol,Manual,B,3rd,Kolkata,174503,17363
Hyundai,2022,3,30717,Petrol,Automatic,C,1st,Hyderabad,426054,10239
Toyota,2022,3,51321,Petrol,Manual,B,1st,Hyderabad,493526,17107
Hyundai,2013,12,158916,Diesel,Automatic,B,2nd,Delhi,146793,13243
Maruti,2023,2,35104,Petrol,Manual,B,3rd,Delhi,203105,17552
Honda,2021,4,32336,CNG,Manual,B,1st,Pune,406047,8084
Volkswagen,2011,14,182434,Diesel,Manual,A,1st,Kolkata,143539,13031
Tata,2020,5,88435,Diesel,Automatic,D,1st,Chennai,261154,17687
Honda,2017,8,126696,Petrol,Manual,B,2nd,Delhi,149535,15837
Maruti,2018,7,66906,Petrol,Manual,B,2nd,Bangalore,135612,9558
Tata,2013,12,158868,Petrol,Automatic,C,2nd,Mumbai,86596,13239
Kia,2013,12,158100,Petrol,Manual,A,1st,Hyderabad,131979,13175
Maruti,2014,11,159984,Diesel,Automatic,B,1st,Hyderabad,107320,14544
Honda,2011,14,176526,Diesel,Automatic,C,1st,Hyderabad,149547,12609
Ford,2016,9,112113,Petrol,Automatic,B,1st,Chennai,161521,12457
Mahindra,2014,11,129789,Diesel,Automatic,C,3rd,Chennai,112130,11799
Tata,2015,10,80320,Petrol,Manual,C,1st,Bangalore,90174,8032
Mahindra,2013,12,117408,Petrol,Automatic,B,1st,Kolkata,144837,9784
Hyundai,2017,8,131696,Diesel,Manual,A,2nd,Ahmedabad,189756,16462
Maruti,2017,8,140616,Petrol,Manual,D,1st,Hyderabad,74636,17577
Toyota,2021,4,59268,Diesel,Manual,B,3rd,Ahmedabad,422108,14817
Toyota,2014,11,182985,Diesel,Manual,B,1st,Chennai,139607,16635
Ford,2021,4,65356,Diesel,Manual,C,2nd,Hyderabad,247957,16339
Volkswagen,2015,10,105180,Petrol,Automatic,B,2nd,Delhi,135121,10518
Honda,2012,13,217542,Petrol,Automatic,B,1st,Hyderabad,121653,16734
Honda,2010,15,150375,Petrol,Automatic,C,1st,Bangalore,125139,10025
Toyota,2018,7,115801,CNG,Manual,B,1st,Bangalore,274904,16543
Tata,2018,7,58576,Petrol,Manual,C,1st,Chennai,148713,8368
Mahindra,2012,13,184184,Petrol,Automatic,B,1st,Hyderabad,128408,14168
Toyota,2013,12,188148,CNG,Manual,C,3rd,Ahmedabad,82029,15679
Ford,2022,3,37281,Diesel,Automatic,B,1st,Bangalore,528309,12427
Hyundai,2016,9,79011,Diesel,Automatic,A,1st,Delhi,282515,8779
Hyundai,2011,14,247450,Electric,Manual,A,1st,Kolkata,84051,17675
Maruti,2021,4,62664,Petrol,Manual,B,2nd,Chennai,197009,15666
Honda,2012,13,136305,Petrol,Manual,C,3rd,Delhi,87176,10485
Maruti,2015,10,142870,Petrol,Manual,B,1st,Bangalore,79178,14287
Hyundai,2020,5,53745,Petrol,Manual,C,1st,Pune,234932,10749
Honda,2017,8,97352,Diesel,Automatic,B,1st,Ahmedabad,318388,12169
Maruti,2010,15,250000,Petrol,Manual,C,1st,Chennai,42003,16666
Honda,2013,12,168300,Diesel,Manual,A,2nd,Ahmedabad,139141,14025
Maruti,2010,15,228870,Petrol,Manual,B,1st,Ahmedabad,54935,15258
Maruti,2011,14,241738,Petrol,Manual,A,2nd,Hyderabad,51444,17267
Toyota,2017,8,137848,Diesel,Automatic,D,1st,Ahmedabad,232553,17231
Hyundai,2015,10,107020,Petrol,Manual,B,3rd,Pune,81853,10702
Maruti,2018,7,63105,Diesel,Automatic,B,1st,Mumbai,235910,9015
Honda,2011,14,176708,Electric,Automatic,B,2nd,Hyderabad,126533,12622
Mahindra,2012,13,232193,Diesel,Automatic,B,3rd,Kolkata,111017,17861
Maruti,2018,7,113008,Petrol,Manual,C,3rd,Hyderabad,96118,16144
Tata,2018,7,110516,CNG,Manual,B,2nd,Delhi,147813,15788
Maruti,2022,3,42771,Petrol,Automatic,B,1st,Hyderabad,319477,14257
Maruti,2015,10,132060,Diesel,Automatic,D,1st,Mumbai,87365,13206
Honda,2023,2,20546,Petrol,Automatic,D,2nd,Chennai,384458,10273
Honda,2012,13,185471,Petrol,Manual,A,2nd,Chennai,98472,14267
Tata,2014,11,106062,Electric,Manual,C,1st,Pune,95517,9642
Mahindra,2011,14,145488,Petrol,Automatic,B,3rd,Mumbai,113957,10392
Renault,2016,9,111501,Diesel,Manual,C,2nd,Delhi,110309,12389
Honda,2019,6,63066,Petrol,Manual,B,1st,Pune,282427,10511
Hyundai,2020,5,47880,Diesel,Manual,B,1st,Mumbai,350991,9576
Toyota,2017,8,122456,CNG,Automatic,D,1st,Ahmedabad,198312,15307
Maruti,2015,10,135670,Petrol,Manual,B,1st,Chennai,70504,13567
Hyundai,2017,8,93904,Diesel,Manual,B,2nd,Pune,194469,11738
Maruti,2011,14,119042,Diesel,Manual,C,1st,Mumbai,82284,8503
Maruti,2012,13,108225,CNG,Manual,A,2nd,Delhi,82872,8325
Renault,2016,9,159948,Petrol,Automatic,B,2nd,Ahmedabad,111444,17772
Toyota,2019,6,77322,Diesel,Manual,A,2nd,Pune,389239,12887
Tata,2021,4,34204,Petrol,Manual,C,2nd,Ahmedabad,218326,8551
Hyundai,2010,15,178920,Petrol,Manual,C,2nd,Hyderabad,71388,11928
Maruti,2016,9,148356,Petrol,Manual,B,3rd,Hyderabad,74544,16484
Maruti,2015,10,179860,Diesel,Manual,A,1st,Kolkata,101486,17986
Maruti,2017,8,137240,CNG,Automatic,B,1st,Chennai,144915,17155
Honda,2016,9,86427,Petrol,Automatic,C,2nd,Kolkata,164858,9603
Mahindra,2013,12,129504,Diesel,Manual,B,1st,Delhi,138170,10792
Tata,2012,13,231673,Diesel,Manual,B,1st,Hyderabad,77932,17821
Maruti,2012,13,214292,Petrol,Manual,B,1st,Ahmedabad,62475,16484
Renault,2013,12,97356,CNG,Automatic,B,1st,Ahmedabad,125983,8113
Mahindra,2018,7,95718,Petrol,Manual,A,2nd,Hyderabad,203001,13674
Honda,2018,7,78092,Petrol,Manual,A,1st,Hyderabad,293285,11156
Tata,2022,3,32457,Petrol,Automatic,A,1st,Bangalore,479949,10819
Hyundai,2011,14,200788,CNG,Manual,B,2nd,Hyderabad,70178,14342
Maruti,2014,11,94963,Electric,Manual,A,2nd,Ahmedabad,85993,8633
Hyundai,2010,15,189540,Petrol,Manual,B,2nd,Ahmedabad,83606,12636
Mahindra,2013,12,189336,Petrol,Manual,B,1st,Bangalore,93253,15778
Maruti,2011,14,220850,Petrol,Automatic,C,1st,Mumbai,70870,15775
Maruti,2017,8,136520,Diesel,Automatic,B,1st,Chennai,181145,17065
Maruti,2013,12,129636,Diesel,Manual,A,1st,Chennai,104020,10803
Maruti,2014,11,168366,CNG,Manual,D,2nd,Pune,43544,15306
Toyota,2020,5,88565,Diesel,Manual,A,2nd,Pune,401928,17713
Mahindra,2013,12,162672,CNG,Manual,B,2nd,Bangalore,95305,13556
Hyundai,2014,11,150128,Diesel,Manual,D,1st,Delhi,87811,13648
Maruti,2014,11,151481,Petrol,Manual,B,1st,Pune,78621,13771
Honda,2014,11,195074,Diesel,Manual,C,2nd,Pune,96340,17734
Hyundai,2020,5,57815,Petrol,Manual,B,2nd,Bangalore,225297,11563
Maruti,2012,13,124644,Petrol,Manual,A,1st,Kolkata,90306,9588
Hyundai,2016,9,123561,Petrol,Manual,B,1st,Hyderabad,134380,13729
Hyundai,2012,13,227084,Diesel,Manual,B,2nd,Pune,90011,17468
Tata,2011,14,227710,Diesel,Manual,B,1st,Kolkata,82808,16265
Tata,2012,13,136292,Diesel,Manual,A,1st,Delhi,130515,10484
Maruti,2020,5,78420,Petrol,Manual,B,3rd,Kolkata,142100,15684
Hyundai,2012,13,128544,Diesel,Manual,B,1st,Chennai,125181,9888
Tata,2017,8,102168,Petrol,Manual,D,3rd,Ahmedabad,80907,12771
Honda,2013,12,112668,Diesel,Manual,C,1st,Mumbai,139212,9389
